District,Date,Operator,Lease/Facility Name,Lease/ID,API#,Drill Permit #,Well #,Field Name,County,Fire,H2S,Injuries,Deaths,Remarks
02,07/11/2019,"Finger Oil & Gas, Inc.",Drushel Lease,265227,239-33557,,1,Carmichael (2500),Jackson,N,N,0,0,"While pumping mud during plugging they encountered pressure. In the morning the well was blowing gas, sand and water."
8A,07/12/2019,"Tabula Rasa Energy, LLC","Seminole, East (San Andres)",60717,,,50,"Seminole, East (San Andres)",Gaines,N,Y,0,0,Evacuated residents and closed CR 107. Stuffing box blew out because BOP and rams had washed out.
02,07/04/2019,"Mission River Systems, Inc.",Urbanczyk,180212,255-31175,,1,Person (Edwards),Karnes,N,N,0,0,Oprphaned well pressured up. Replaced well heaad and remediated area.
02,5/28/2019,"Capital Star Oil & Gas, Inc.",Bertha Anderson Gas Unit,,285-34107,851949,4,"Mont (Wilcox 10,900)",Lavaca,N,N,0,0,"while tripping back into the hole with a new drill bit near 5,100’ (Current TD at approximately 10,540’) the well took a slight kick."
02,4/30/2019,"38 Oil & Gas, L.L.C.","Rooke, P.H.",147018,391-03009,,17,"Refugio, New (2450)",Refugio,N,N,0,0,"EPC attempted to remove a bull plug from the master valve, but when they did, the tubing snapped of where the tubing was leaking. The well is now blowing fully open to the atmosphere. EPC will attempt to spear into the well and attempt to bullhead into the tubing to kill it with brine."
08,4/25/2019,"Resolute Natural Res. Co., LLC",Ranger,283915,389-36240,,,Phantom (Wolfcamp),Reeves,N,Y,0,0,"The industry incident occurred during workover operations. The BOP was being installed and the uncontrolled event occurred. Per the operator, there is no gas coming from the well, but RRC H2S Fields and Concentrations Listing states average concentration is 543ppm for the Phantom (Wolfcamp) Field."
09,3/4/2019,"Extech Operating, LLC",McDonald,33809,33735466,,1,"Newport, S.(Bend Congl.)",Montague,N,N,0,0,The well head failed causing 2 joints of tubing and the well head to be blown into the crown of the rig. Commission inspector Bill Hudson was dispatched to the site.
02,2/23/2019,Enerquest Operating LLC,Roberts Lease,06893,255-31112,,1,Edwards,Karnes,N,Y,0,0,APPROXIMATELY 1300. SCOTT CAMPBELL FROM ENERQUEST OPERATING L.L.C. REPORTS BLOWOUT ON ROBERTS WELL #1. ADJACENT WELL NEXT TO ROBERTS LEASE REPORTEDLY PRESSURED UP ROBERTS #1 CASING BLOWING OFF GATE VALVE/BALLVALVE.
08,2/12/2019,Kinder Morgan Production Co LLC,Yates Fiedl Unit,24061,371-34159,,49A98,Yates,Pecos,N,Y,0,0,"The cause of the blowout is unknown. Unknown volume of release at this time. H2S is present. Per RRC Mainframe, H-9 states 28000ppm H2S. Kinder Morgan has quartered off approximately a 1-mile radius, allowing access to only Kinder Morgan and RRC personnel."
08,12/13/2018,"Colgate Operating, LLC",King David MIPA Unit # 1H,,,830360,1H,Phantom (Wolfcamp),Reeves,N,Y,0,0,"The well has just been frac'd and is full of water. Kill plugs were set last night and were tested. Initially, the plugs held and the well was opened for a few hours. The flow was noticed at approximately 3:00 a.m. Per the operator, there is no gas coming from the well."
04,10/20/2018,Laredo Energy LLC,Reuthinger,,479-43946,837264,NO13H,Hawkville (Eagleford Shale),Webb,N,N,0,0,DURING A SQUEZZE JOB THE PACKER GAVE OUT AND THE TIW VALVE GAVE OUT
08,10/16/2018,"Sheridan Production Company, LLC",University Consolidated XII,23161,033-2389,,44W,Furhman-Mascho,Andrews,N,Y,0,0,"A mechanical failure on the wellhead of the UNIVERSITY CONSOLIDATED XII #44W caused produced water to come out of the wellhead at a high volume. Per the operator there is no gas coming from the well, but our records show there is an H9 on this lease for 25000 ppm."
1/02,8/28/2018,"Cinco Operating Company, LLC",Baty SWD,18065,127-33023,,1,Pearsall (Austin Chalk),Dimmit,N,N,2,0,"Operator put workover rig (Basic Energy Services) on well and bled pressure off the well. While working on removing the last bolts out of the wellhead flange, the well blew out."
01/02,8/28/2018,Minexprod LLC,McCoy Blanding,26837,291-32878,,1,Cleveland (Cockfield 5600),Liberty,N,N,0,0,"Received notification of a well blowout out the choke nipple past the wing valve on the “T” of the wellhead. The Operator has been flow testing the well the past few days into a tank. Well began blowing saltwater, crude, and gas out the wing valve which caused the choke nipple to cut out. The wing valve has been shut-in and the well is secured. Oil / Water ratio on well is estimated to be 97% : 3%. An unknown volume of fluids were released and are contained within a 20 ft by 15 ft area around the well. Local Fire Dept was notified but did not respond."
03,7/20/2018,Verdun Oil & Gas LLC,Somme,,477-31082,840935,1H,Giddings (Austin Chalk-3),Washington,N,N,0,0,"Operator was drilling at 9,000 feet and it took a kick."
03,6/27/2018,"Lewis Petro Properties, Inc.",Appling PSA B,,283-36275,837042,21H,Hawkville (Eagleford Shale),La Salle,N,N,0,0,"While drilling out their frac plugs with coiled tubing, after the coiled tubing drilled Plug #21 at 13,920' and going down to Plug #22 which was 200 ft. further, the well started blowing out at the flange between frac tree and transition spool at 5 1/8"" 10M connection."
01,6/14/2018,MDC Texas Operators,Runaway Ghost,,389-37120,839623,1HM,Phantom (Wolfcamp),Reeves,Y,N,0,0,"it is suspected that he spud rig, used to set conductor or surface pipe, tapped a shallow localized gas pocket. The district office is monitoring the situation."
08,4/19/2018,"Foothills Texas, Inc.",Simms-Schilling,1799,201-31755,,48,Goose Creek,Harris,N,N,0,0,"During normal injection operations, the larken head was observed to be leaking at the seal of the production casing and tubing. Salt water and sand was found releasing and impacting the surrounding location."
03,3/18/2018,EOG Resources,Baker Deforest Unit,16046,177-32474,,12H,Eagleville (Eagle Ford -1),Gonzales,Y,N,0,0,"Unknown cause of fire, fire is emanating from wellhead from an unknown orifice. An automated pneumatic shutoff wing valve was successfully closed, isolating the well from production facility down stream. At least three (3) nearby families have been evacuated out of an abundance of caution and put up in hotels for the night, but there is no known immediate threat to the general public."
01/02,1/26/2018,EOG Resources,Cooper Unit,,255-35599,830285,2H,Eagleville (Eagle Ford- 2),Karnes,N,N,0,0,"EOG finished frac'ing and running tubing in hole when well ""kicked'. The packer gave way and pressure was received at the surface."
01/02,1/19/2018,"Southern Exploration, Inc.",Block 7,,009-73124,833718,1,Archer county regular,Archer,N,N,0,0,The well site geologist was on the shale shaker waiting to catch samples when the mud flow increased rapidly and started blowing oil and gas cut mud up through the rotary table about 40' up in the derrick. Rig personnel closed the blow out preventer after approximately 20 minutes.
09,12/1/2017,"South Oil, Inc.",Wilmeth B,19042,163-33832,,1,Pearsall (Buda Lime),Frio,N,N,0,0,"South Oil, Inc was testing the well when pressure had developed and the packing on the stuffing box failed, causing the release of gas and produced fluids sometime on the morning of 12/20/17. There were no injuries, however as a precaution the section of Hwy 85 nearest to the well was closed off."
01,12/18/2017,"Devon Energy Production Co, LP","Slay, C.W. (AW)",,439-37135,829994,18H,"Newark, East (Barnett Shale)",Tarrant,N,N,0,0,Devon Energy Reported an acid flowback to surface through a stuck/broke valve.
5,12/7/2017,"Occidental Permian, Ltd.",Anton-Irish Clearfork Unit,,,,,,Hale,N,Y,0,0,"At approximately 4:30 pm, the stripper rubbers failed on the BOP causing the uncontrolled release of CO2 and approximately 5 barrels of produced water. H2S monitors and personnel were set up in the area during the release"
08/8A,12/6/2017,IWR Operating,Panther Exploration,,157-33230,831853,1,Blue Ridge,Fort Bend,N,N,0,0,"Operator reported that they are experiencing well fluid control issues. The surface casing was successfully set and cement circulated to surface. However, while drilling to TD, operator encountered gas pocket and incurred a kick which has allowed well to begin blowing gas, oil, water, and drilling fluids."
03,9/7/2017,Hilcorp Energy Company,West Ranch (41-A/98-A Cons),386310,239-33653,,2119,West Ranch (41-A & 98-A Cons),Jackson,N,N,0,0,"A workover rig was on the well on 9/6/2017, the tubing was unseated and pulled from the permanent packer in the well and tubing was hung off of annular BOP stack, then shut-in overnight. Overnight, apparently the annular BOP rams failed and the tubing dropped, causing well fluids to flow to the surface. The blowout took place at approximately 0230 on Sept. 7, 2017. The well is in a CO2 injection field and CO2 with some water is believed to be the fluid that is spraying out. Less than one barrel of fluid is on the ground."
02,7/21/2017,NBL Permian LLC,Howard State 2-25-8,45383,389-33385,,1,Wolfbone (Trend Area),Reeves,N,N,0,0,"An uncontrolled well situation was not reported at the time, only a spill. Glenn Gainey inspected the well and it is currently spewing gas through a flange on the wellhead. Pressure at the wellhead is unknown. Some fluid has pooled on location. Boots and Coots is on location now with 400 bbl of 12.5 ppg mud. NBL has set up a safety corridor around the well. Total Safety is on location as well. Boots and coots plans to kill the well around 3:00 pm today."
8,7/13/2017,"Parsley Energy Operations, LLC",Paige,,383-39785,821002,12A-13A,Spraberry (Trend Area),Reagan,N,N,0,0,Workover rig was going in the hole with tubing and stacked out hard on bottom and bent tubing where the crew could not close the BOP. At that time the well started to blow oil and gas
7C,6/6/2017,Karbuhn Oil Company,Pogo Fee,17935,245-31735,,1,Herbert (h-3),Jefferson,N,Y,0,0,They had produced water leaking into the cellar and had what appeared to be communication between their casing strings. Sent notification to RRC inspector Carroll Mayfield to inspect the well. Mr. Mayfield noted that the well was leaking about 30-bbls of produced water an hour and a small amount of gas. Karbuhn had contracted Cudd Pressure Control to kill the well.
3,5/16/2017,Cummins & Walker Oil Co. Inc.,"Welder, M.S. Est.",172091,469-33366,,3,"Lonnie Glasscock (Oakville, LO.)",Victoria,N,N,0,0,During workover the wellhead and tubing were in poor codition and remedial work worsened the condition casusing a total loss of the wellhead.
2,4/20/2017,Hilcorp Energy Company,Baer-Franklin,,321-32403,821323,2,Bear Ranch (Tex-Miss Cons),Matagorda,N,N,0,0,Well finished drilling and during flow testing a loss of control occurred.
