,District,Date,Operator,Lease/Facility Name,Lease/ID,API#,Drill Permit #,Well #,Field Name,County,Fire,H2S,Injuries,Deaths,Remarks
1,2,07/11/2019,"Finger Oil & Gas, Inc.",Drushel Lease,265227,239-33557,,1,Carmichael (2500),Jackson,N,N,0,0,"While pumping mud during plugging they encountered pressure. In the morning the well was blowing gas, sand and water."
2,8A,07/12/2019,"Tabula Rasa Energy, LLC","Seminole, East (San Andres)",60717,,,50,"Seminole, East (San Andres)",Gaines,N,Y,0,0,Evacuated residents and closed CR 107. Stuffing box blew out because BOP and rams had washed out.
3,2,07/04/2019,"Mission River Systems, Inc.",Urbanczyk,180212,255-31175,,1,Person (Edwards),Karnes,N,N,0,0,Oprphaned well pressured up. Replaced well heaad and remediated area.
4,2,5/28/2019,"Capital Star Oil & Gas, Inc.",Bertha Anderson Gas Unit,,285-34107,851949.0,4,"Mont (Wilcox 10,900)",Lavaca,N,N,0,0,"while tripping back into the hole with a new drill bit near 5,100’ (Current TD at approximately 10,540’) the well took a slight kick."
5,2,4/30/2019,"38 Oil & Gas, L.L.C.","Rooke, P.H.",147018,391-03009,,17,"Refugio, New (2450)",Refugio,N,N,0,0,"EPC attempted to remove a bull plug from the master valve, but when they did, the tubing snapped of where the tubing was leaking. The well is now blowing fully open to the atmosphere. EPC will attempt to spear into the well and attempt to bullhead into the tubing to kill it with brine."
6,8,4/25/2019,"Resolute Natural Res. Co., LLC",Ranger,283915,389-36240,,,Phantom (Wolfcamp),Reeves,N,Y,0,0,"The industry incident occurred during workover operations. The BOP was being installed and the uncontrolled event occurred. Per the operator, there is no gas coming from the well, but RRC H2S Fields and Concentrations Listing states average concentration is 543ppm for the Phantom (Wolfcamp) Field."
7,9,3/4/2019,"Extech Operating, LLC",McDonald,33809,33735466,,1,"Newport, S.(Bend Congl.)",Montague,N,N,0,0,The well head failed causing 2 joints of tubing and the well head to be blown into the crown of the rig. Commission inspector Bill Hudson was dispatched to the site.
8,2,2/23/2019,Enerquest Operating LLC,Roberts Lease,6893,255-31112,,1,Edwards,Karnes,N,Y,0,0,APPROXIMATELY 1300. SCOTT CAMPBELL FROM ENERQUEST OPERATING L.L.C. REPORTS BLOWOUT ON ROBERTS WELL #1. ADJACENT WELL NEXT TO ROBERTS LEASE REPORTEDLY PRESSURED UP ROBERTS #1 CASING BLOWING OFF GATE VALVE/BALLVALVE.
9,8,2/12/2019,Kinder Morgan Production Co LLC,Yates Fiedl Unit,24061,371-34159,,49A98,Yates,Pecos,N,Y,0,0,"The cause of the blowout is unknown. Unknown volume of release at this time. H2S is present. Per RRC Mainframe, H-9 states 28000ppm H2S. Kinder Morgan has quartered off approximately a 1-mile radius, allowing access to only Kinder Morgan and RRC personnel."
10,8,12/13/2018,"Colgate Operating, LLC",King David MIPA Unit # 1H,,,830360.0,1H,Phantom (Wolfcamp),Reeves,N,Y,0,0,"The well has just been frac'd and is full of water. Kill plugs were set last night and were tested. Initially, the plugs held and the well was opened for a few hours. The flow was noticed at approximately 3:00 a.m. Per the operator, there is no gas coming from the well."
